"Group.1" "Mean" "StdDev"
"LAYING" -0.51599186097421 0.5048816619379
"SITTING" -0.510467572920001 0.510473296308487
"STANDING" -0.523662063542649 0.509076804564489
"WALKING" -0.498801519080878 0.504320869323143
"WALKING_DOWNSTAIRS" -0.500245419034686 0.50650617533812
"WALKING_UPSTAIRS" -0.497221097015783 0.505184334986695
"1" -0.463716542749936 0.497295074540271
"2" -0.486713996139449 0.502811089306893
"3" -0.513305700948802 0.503373423412521
"4" -0.516905997620793 0.509131852685244
"5" -0.486744619244046 0.504180551402664
"6" -0.465296805542408 0.499756707252724
"7" -0.489057862500484 0.502623938425635
"8" -0.467970825052308 0.504688950595559
"9" -0.502495097191743 0.500843675962414
"10" -0.485217163189524 0.501294173234371
"11" -0.524889013946856 0.510217280027573
"12" -0.508086236045606 0.503778573784079
"13" -0.495520215294449 0.507536684934289
"14" -0.470407319816446 0.506264788627301
"15" -0.517068292901229 0.508486059876069
"16" -0.545471854544871 0.515380709535846
"17" -0.532283183746643 0.515899506665549
"18" -0.554871723221615 0.510829344636885
"19" -0.483419110756989 0.509647921726285
"20" -0.488484740349164 0.501909977046085
"21" -0.531074045846152 0.512264571270128
"22" -0.500546088727287 0.507417374971588
"23" -0.475827255097812 0.507161328898879
"24" -0.532915921247308 0.506897852697339
"25" -0.546032397931626 0.511719756490632
"26" -0.53156690682358 0.510550381436544
"27" -0.536397143012394 0.512075457117072
"28" -0.528449504034801 0.502513360558791
"29" -0.515399693128953 0.510407502152705
"30" -0.515229704083787 0.500361287803291
